"","i","j","f.i.wt","f.j.wt","f.i.j","f.ij.i","f.ij.j","ep.ij","ep.ji","max.ep","delta","fmax"
"1","RPI","AACPS3",-0.834079706982538,-0.00497464115400093,-0.829105853563228,-0.00211848651917999,-0.831212372951265,0.00285615463482092,0.00286733403127215,0.00286733403127215,-1.1179396451233e-05,0.836198193501718
"2","RPI","AACPS4",-0.834079706982538,-0.00586114698576704,-0.828219486707208,-0.00249633436880937,-0.830701720387614,0.00336481261695765,0.00337798659492405,0.00337798659492405,-1.31739779664075e-05,0.836576041351347
"3","RPI","AACPS7",-0.834079706982538,-0.00303586957951223,-0.83175319413655,-0.0713186196073447,-0.902626532305638,-0.0682827500278325,-0.0685468253231003,-0.0685468253231003,0.00026407529526784,0.90566240188515
"4","RPI","ACACT1r",-0.834079706982538,-0.076691956210836,-0.760472402462959,-0.287046189945339,-1.04519603143184,-0.210354233734503,-0.211116324449303,-0.211116324449303,0.000762090714799379,1.12188798764268
"5","RPI","ACACT2r",-0.834079706982538,-0.076691956210836,-0.760472402462959,-0.287046189945339,-1.04519603143184,-0.210354233734503,-0.211116324449303,-0.211116324449303,0.000762090714799379,1.12188798764268
"6","RPI","ACACT3r",-0.834079706982538,-0.076691956210836,-0.760472402462959,-0.287046189945339,-1.04519603143184,-0.210354233734503,-0.211116324449303,-0.211116324449303,0.000762090714799379,1.12188798764268
"7","RPI","ACACT4r",-0.834079706982538,-0.0459055730003584,-0.789599797321984,-0.150663123179085,-0.9392375194198,-0.104757550178727,-0.105157812437262,-0.105157812437262,0.0004002622585354,0.985143092420158
"8","RPI","ACACT5r",-0.834079706982538,-0.0324584655785175,-0.802335590922038,-0.0827999166666293,-0.884619387606282,-0.0503414510881118,-0.0505396806237445,-0.0505396806237445,0.000198229535632644,0.9170778531848
"9","RPI","ACACT6r",-0.834079706982538,-0.0258447165767701,-0.808238937502211,-0.0110397837498133,-0.819216447393084,0.0148049328269568,0.0148632595894534,0.0148632595894534,-5.83267624966188e-05,0.845119490732351
"10","RPI","ACACT7r",-0.834079706982538,-0.0108113831464421,-0.823270019414315,-0.00460803022181001,-0.827852029462004,0.00620335292463203,0.0062276775205341,0.0062276775205341,-2.43245959020699e-05,0.838687737204348
"11","RPI","ACALD",-0.834079706982538,-0.460037640875065,-0.223176844479477,-0.153170754032163,-0.524905905876518,0.306866886842902,0.309173801106019,0.309173801106019,-0.0023069142631168,0.9872504610147
"12","RPI","ACKr",-0.834079706982538,-0.436219338596654,-0.250128178781998,-0.247637484755892,-0.645622935844667,0.188581853840762,0.188456771137871,0.188581853840762,0.000125082702890689,1.08184227444132
"13","RPI","ACOAD1f",-0.834079706982538,-0.076691956210836,-0.760472402462959,-0.287046189945339,-1.04519603143184,-0.210354233734503,-0.211116324449303,-0.211116324449303,0.000762090714799379,1.12188798764268
"14","RPI","ACOAD2f",-0.834079706982538,-0.076691956210836,-0.760472402462959,-0.287046189945339,-1.04519603143184,-0.210354233734503,-0.211116324449303,-0.211116324449303,0.000762090714799379,1.12188798764268
"15","RPI","ACOAD3f",-0.834079706982538,-0.076691956210836,-0.760472402462959,-0.287046189945339,-1.04519603143184,-0.210354233734503,-0.211116324449303,-0.211116324449303,0.000762090714799379,1.12188798764268
"16","RPI","ACOAD4f",-0.834079706982538,-0.0459055730003584,-0.789599797321984,-0.150663123179085,-0.9392375194198,-0.104757550178727,-0.105157812437262,-0.105157812437262,0.0004002622585354,0.985143092420158
