Distance,Fitness_Gain,Mutation_Added,Fitness_Gain_No_Lactate
0,0,WT,0
1,1.0421821416,LDH_D,1.0421821416
2,0.2386729589,ATPS4rpp,0.2386729589
3,0.1645917859,PFL,0.1645917859
4,0.6654916455,ACKr,0.4336710224
5,0,NA,0
