Distance,Delta_Fitness_Mean,Delta_Fitness_SE,Mutant
32,7.88153388731061E-07,4.36915421000701E-07,MTHFD
64,0.000058665,0.000045065,MTHFD
128,5.86353169595588E-05,4.45903864233087E-05,MTHFD
256,0.000580274,0.0002294609,MTHFD
512,0.0014957273,0.0003465258,MTHFD
1024,0.0034084373,0.0004722698,MTHFD
1,1.05108131087661E-10,2.33482566885413E-11,MTHFC
2,1.05108131087661E-10,2.33482566885413E-11,MTHFC
4,1.42675147252191E-10,3.99371146991578E-11,MTHFC
8,6.8379022444276E-10,2.46510706719359E-10,MTHFC
16,7.47851615168216E-08,7.37814683105349E-08,MTHFC
32,7.8812303081488E-07,4.36915969912546E-07,MTHFC
64,0.000058665,0.000045065,MTHFC
128,5.86328008506198E-05,4.45904163498479E-05,MTHFC
256,0.0005774227,0.0002269708,MTHFC
512,0.0015067528,0.0003530581,MTHFC
1024,0.0034019106,0.000467322,MTHFC
1,2.16741158354239E-11,8.45515206711676E-12,PGI
2,1.67241820392405E-11,8.49611115065608E-12,PGI
4,6.27966772803745E-09,0.000000006,PGI
8,9.36158140785182E-09,6.17410277936773E-09,PGI
16,0.000000012,6.47084474487484E-09,PGI
32,9.13983725916445E-06,5.26920076632138E-06,PGI
64,5.73772674483064E-05,3.06273170305234E-05,PGI
128,6.9333572567305E-05,0.000030823,PGI
256,0.001004875,0.0004540461,PGI
512,0.0048128563,0.0015782583,PGI
1024,0.0104971335,0.0021693687,PGI
1,1.11448872353037E-10,1.03034227277144E-10,GLUDy
2,1.11448872353037E-10,1.03034227277144E-10,GLUDy
4,2.77617164812227E-10,1.7445705062293E-10,GLUDy
8,3.86077807945639E-09,1.46073790919559E-09,GLUDy
16,8.14525346282124E-09,2.66692943115274E-09,GLUDy
32,0.000000267,0.000000201,GLUDy
64,2.84550943496109E-05,2.01894652223752E-05,GLUDy
128,0.000029623,2.00071342118823E-05,GLUDy
256,0.0006265355,0.0002687354,GLUDy
512,0.0033288386,0.0011102528,GLUDy
1024,0.0078816091,0.0015803808,GLUDy
1,5.03928898609729E-11,9.15502047488712E-12,FUM
2,5.03928898609729E-11,9.15502047488712E-12,FUM
4,6.27572838141077E-11,1.4435817768582E-11,FUM
8,2.69857420853725E-10,8.9912901931992E-11,FUM
16,5.63674757980692E-09,5.18824968846679E-09,FUM
32,5.05018581886674E-08,2.77966695688483E-08,FUM
64,0.0002208222,0.0001990204,FUM
128,0.0002207124,0.0001989909,FUM
256,0.0030323781,0.0013482996,FUM
512,0.0062934079,0.0023619697,FUM
1024,0.0140268689,0.0031831564,FUM
1,1.12189058043555E-11,2.4988899838263E-14,TKT1
2,1.12189058043555E-11,2.4988899838263E-14,TKT1
4,1.62937219272408E-11,5.10680562347647E-12,TKT1
8,1.53023100857297E-10,6.2266172149126E-11,TKT1
16,2.35560224659537E-10,6.97175237191208E-11,TKT1
32,1.50995252101715E-08,1.02434314412173E-08,TKT1
64,1.81454466700903E-05,1.46885860038775E-05,TKT1
128,1.80623514198941E-05,0.000014526,TKT1
256,0.0001109211,2.79671559224701E-05,TKT1
512,0.0002637256,5.22632993960621E-05,TKT1
1024,0.0006167288,6.88426799450905E-05,TKT1
1,1.19817311627912E-11,7.63486782374127E-13,TALA
2,1.19817311627912E-11,7.63486782374127E-13,TALA
4,1.70565472856765E-11,5.15592331875374E-12,TALA
8,1.05802686611867E-10,4.08012654972172E-11,TALA
16,1.87386230976472E-10,5.22336549146173E-11,TALA
32,2.24351147304347E-07,1.57513764698205E-07,TALA
64,1.84543941270765E-05,0.000014686,TALA
128,1.83664869173739E-05,1.45234176581352E-05,TALA
256,0.0001083445,2.78754008721501E-05,TALA
512,0.0002669807,5.26076677878046E-05,TALA
1024,0.0006394197,6.97360890171563E-05,TALA
