Step,First_Mutant,Fitness_predicted,SE_predicted
WT,CitT,0,0
WT,dctA,0,0
Single,CitT,2.283976437,0.0119519448
Single,dctA,2.28412844194281E-12,1.83390897153438E-12
Double,CitT,4.9682231501,0.0788391967
Double,dctA,3.4640886277,0.0271046433
