Distance,Delta_Growth_Mean,Delta_Growth_Mean_Null,Delta_Growth_SE,Delta_Growth_SE_Null
82,0.000988083,0.0010017819,0.0001978836,0.0001830494
83,0.0009880832,0.0010017824,0.0001978836,0.0001830494
84,0.0009868551,0.0010005313,0.0001976559,0.0001827988
85,0.0009855269,0.0010005319,0.0001976614,0.0001827988
86,0.0009855254,0.001000531,0.0001976611,0.0001827985
87,0.0010108588,0.0010301603,0.0001991524,0.0001841424
88,0.001057168,0.0010935169,0.0002027323,0.0001921129
89,0.0010489781,0.0010931043,0.0002025933,0.0001920322
90,0.0010499219,0.0011005672,0.0002025916,0.000192053
91,0.001049109,0.0011086312,0.0002025718,0.0001921872
92,0.0010907078,0.0011654946,0.000206574,0.0002000922
93,0.0010995842,0.0011734722,0.0002067169,0.0002002046
94,0.0011752903,0.0012491811,0.0002131404,0.0002068016
95,0.0011771382,0.0012645801,0.0002131309,0.0002069948
96,0.0011771382,0.0012645806,0.0002131309,0.0002069948
97,0.0011772352,0.0013035769,0.0002131473,0.0002104005
98,0.0012153499,0.0013412737,0.0002163207,0.0002135209
99,0.0012140979,0.0013400096,0.0002161075,0.0002133036
100,0.0012141904,0.0013401601,0.0002161328,0.0002133287
101,0.0012145182,0.001340187,0.0002161541,0.0002133407
102,0.0012146591,0.00134035,0.0002161761,0.0002133667
103,0.0012146593,0.0013403505,0.0002161761,0.0002133667
104,0.0012146595,0.0013403514,0.0002161761,0.0002133667
105,0.0012234569,0.0013482148,0.0002163056,0.0002134621
106,0.0012234575,0.001348216,0.0002163057,0.0002134622
107,0.0012234579,0.0013482169,0.0002163058,0.0002134623
108,0.0012400501,0.0013671227,0.0002165299,0.0002137709
109,0.0012400506,0.0013671236,0.0002165299,0.0002137709
110,0.0012417632,0.0013674539,0.0002168241,0.0002138271
111,0.0012460306,0.0013674545,0.0002168416,0.0002138271
112,0.0012460308,0.0013671971,0.0002168416,0.0002138194
113,0.0012895542,0.001411072,0.0002198982,0.0002167286
114,0.0012888836,0.0014095541,0.0002197876,0.0002164528
115,0.0013271098,0.0014477648,0.0002228659,0.0002195541
116,0.0013655278,0.0014844033,0.0002259271,0.0002223552
117,0.0013626025,0.00147927,0.0002254235,0.0002211335
118,0.0013626139,0.0014792707,0.0002254237,0.0002211335
119,0.001363045,0.0014792713,0.0002254925,0.0002211335
120,0.0013710736,0.0014872643,0.0002255853,0.0002212217
121,0.0014439269,0.0015595371,0.0002309734,0.0002265858
122,0.0014428435,0.0015583317,0.0002307999,0.0002263984
123,0.0014864351,0.0015583277,0.0002418079,0.0002263977
124,0.0014777391,0.0015572991,0.0002416185,0.000226172
125,0.0014764803,0.0015525368,0.0002414274,0.0002254193
126,0.0014764803,0.0015525374,0.0002414274,0.0002254193
127,0.0014400505,0.0015525381,0.0002388829,0.0002254193
128,0.0014621868,0.0015755677,0.0002390954,0.0002256171
129,0.0014996174,0.001613063,0.0002417807,0.0002284527
130,0.0014995351,0.00161297,0.0002417692,0.0002284413
131,0.001507514,0.0016209576,0.0002418513,0.0002285244
132,0.0015082921,0.0016207046,0.0002418747,0.0002284842
133,0.0015018536,0.0016207053,0.000241829,0.0002284842
134,0.0014811749,0.0016128521,0.0002393427,0.0002266314
135,0.0014817457,0.0016128527,0.0002393589,0.0002266314
136,0.0014811042,0.0016128533,0.0002391121,0.0002266314
137,0.0014811458,0.0016104833,0.0002391132,0.0002262756
138,0.0014811459,0.001610484,0.0002391132,0.0002262756
139,0.0020835936,0.001624478,0.0007285132,0.0002271083
140,0.0022572834,0.0016621363,0.0007415663,0.000229943
141,0.0022495512,0.0017086713,0.0007415499,0.000232986
142,0.0022863242,0.0017446625,0.0007422266,0.0002353968
143,0.0022863227,0.0017447446,0.0007422323,0.0002354182
144,0.0023326963,0.0017900467,0.0007431227,0.0002381878
145,0.0023702841,0.001828567,0.0007439548,0.0002410103
146,0.0023702708,0.0018645764,0.0007439547,0.0002434195
147,0.0023779741,0.0018724823,0.0007439701,0.0002434873
148,0.0023778527,0.0018723311,0.0007439648,0.0002434656
149,0.0023773929,0.0019095653,0.0007439423,0.0002460111
150,0.002377565,0.0019258699,0.0007439477,0.000248897
151,0.0023395238,0.0019258823,0.0007430942,0.0002488973
152,0.0023395239,0.0019258831,0.0007430942,0.0002488973
153,0.0023778423,0.0019642103,0.0007439608,0.0002515369
154,0.0023908737,0.0019638192,0.0007440331,0.0002514833
155,0.0023908747,0.0019638199,0.0007440333,0.0002514833
156,0.002504629,0.0019627416,0.0007523125,0.000251339
157,0.0025046293,0.0019625571,0.0007523125,0.0002513124
158,0.0026781419,0.0019626624,0.0007713396,0.0002513265
159,0.0026781403,0.0019626611,0.0007713395,0.0002513263
160,0.0026781864,0.0019626517,0.0007713395,0.000251326
161,0.0027081659,0.0019991507,0.0007720864,0.0002536862
162,0.0027086981,0.0019992245,0.0007721692,0.0002536966
163,0.0027166835,0.0020065962,0.0007721761,0.0002537313
164,0.0027259111,0.0020130703,0.0007721512,0.0002536141
165,0.0027258823,0.002013071,0.0007721462,0.0002536141
166,0.0027258826,0.0020125487,0.0007721462,0.0002535396
167,0.0027380828,0.0020113004,0.0007721757,0.0002533667
168,0.0027381215,0.0020180073,0.000772176,0.0002533886
169,0.0027377688,0.0020250983,0.0007721709,0.0002534376
170,0.0027372928,0.0020328454,0.000772167,0.0002534943
171,0.0027372929,0.0020328462,0.000772167,0.0002534943
172,0.0027570675,0.0020428491,0.0007721867,0.00025349
173,0.0027658295,0.002042479,0.0007726314,0.0002534817
174,0.0027654899,0.0020504569,0.000772617,0.0002535429
175,0.0028163284,0.0020872023,0.0007734776,0.0002559218
176,0.0028591591,0.0021253454,0.0007744865,0.0002584694
177,0.0028591718,0.0021251085,0.0007744848,0.0002584613
178,0.0029780525,0.0021251087,0.0007831213,0.0002584613
179,0.0029780957,0.0021251094,0.0007831211,0.0002584613
180,0.0029863081,0.0021327582,0.0007831328,0.0002585113
181,0.0030244273,0.0021736668,0.0007839147,0.0002610818
182,0.0030479028,0.0021736696,0.0007841752,0.0002610818
183,0.0030479028,0.0021724801,0.0007841752,0.0002609286
184,0.0030479742,0.0021723644,0.0007841784,0.0002609354
185,0.0030480558,0.0021723183,0.0007841841,0.0002609293
186,0.0030353777,0.0021860777,0.0007841296,0.0002608648
187,0.0030354248,0.0021860922,0.0007841299,0.0002608651
188,0.0030278736,0.0021861171,0.0007841142,0.0002608657
189,0.0030279158,0.0021930044,0.0007841145,0.0002609077
190,0.0030353973,0.0022007543,0.0007841297,0.0002609576
191,0.0030435244,0.0022083732,0.0007841403,0.0002610045
192,0.0030435408,0.002208378,0.0007841411,0.0002610066
193,0.0030438351,0.0022080184,0.0007841423,0.0002609947
194,0.0032031887,0.0022463505,0.0007937827,0.000263473
195,0.0032034845,0.0022465985,0.0007938076,0.0002635067
196,0.0032038971,0.0022453838,0.00079381,0.0002633446
197,0.0032009866,0.0022438873,0.0007937454,0.0002631652
198,0.0032009867,0.002243888,0.0007937454,0.0002631652
199,0.0032021779,0.002243465,0.0007938813,0.0002631084
200,0.003202516,0.0022432154,0.0007938838,0.0002631043
201,0.0032411218,0.0022817237,0.0007946598,0.0002655881
202,0.003232879,0.0022794782,0.0007946506,0.0002654405
203,0.0032331492,0.0022914928,0.0007946497,0.0002658049
204,0.0033676512,0.0023271171,0.0008054042,0.0002678765
205,0.0033750386,0.0023417933,0.00080541,0.0002679567
206,0.0034140667,0.0023886171,0.0008061914,0.0002704916
207,0.0034141125,0.0023880953,0.0008061658,0.0002704223
208,0.0034521196,0.0024565157,0.0008068775,0.0002741452
209,0.0034521609,0.0024546137,0.0008068814,0.0002739298
210,0.0035597582,0.0024546144,0.0008135916,0.0002739298
211,0.0035686539,0.0024539514,0.0008140111,0.0002738483
212,0.0035782698,0.0025034794,0.0008148793,0.0002757813
213,0.0035782945,0.00250348,0.0008148803,0.0002757813
214,0.0036295092,0.002535861,0.0008156569,0.0002774011
215,0.003668166,0.0025710581,0.0008164149,0.0002793232
216,0.003668166,0.0025710587,0.0008164149,0.0002793232
217,0.0037065143,0.0026098392,0.0008171399,0.0002816559
218,0.0037064787,0.0026096168,0.0008171401,0.0002816519
219,0.003706479,0.0026175376,0.0008171401,0.0002816898
220,0.0036993219,0.0026161756,0.0008171317,0.0002815959
221,0.0036994152,0.0026162792,0.0008171349,0.0002816064
222,0.0036994892,0.0026155222,0.0008171232,0.0002815542
223,0.0036716921,0.0026217027,0.0008164882,0.0002814131
224,0.0036657637,0.0026213037,0.0008164786,0.0002814056
225,0.0036644292,0.002620036,0.00081642,0.0002812443
226,0.0037094683,0.0026638435,0.0008171037,0.0002832483
227,0.00373909,0.0027016248,0.0008178101,0.0002854011
228,0.0037323377,0.0027009747,0.0008178036,0.0002853589
229,0.003731962,0.0027087836,0.0008178016,0.0002853918
230,0.0037398924,0.0027090214,0.0008181421,0.0002854222
231,0.0037341458,0.0027090087,0.0008181334,0.0002854295
232,0.0037537323,0.0027230027,0.0008166931,0.0002860185
233,0.0037730642,0.002777837,0.0008145663,0.0002907947
234,0.003787603,0.0027776883,0.0008178179,0.0002907864
235,0.0037834064,0.002778145,0.0008178428,0.0002908398
236,0.0037834497,0.0027769178,0.0008178426,0.0002907242
237,0.0037838254,0.0027771281,0.000817884,0.0002907487
