C1,C2,Comp,T0_C1,T0_C2,T1_C1,T1_C2,FBA_Comp,Mutant_Initial_Biomass,WT_Initial_Biomass,Mutant_Final_Biomass_Exp,WT_Final_Biomass_Exp,WT_Final_Biomass_FBA,Mutant_Final_Biomass_FBA,Predicted T1_C2,Predicted T1_C1
ZDB89,ZDB1245,Cit+ dctA+ vs Cit- dctA-,1810,160,2200,51,WT_CitTdctA,7.059E-07,6.24E-08,0.0000858,0.000001989,3.9731179148E-07,0.0001081447,10.1874818328,2772.9419028205
ZDB89,ZDB1245,Cit+ dctA+ vs Cit- dctA-,440,161,1620,61,WT_CitTdctA,1.716E-07,6.279E-08,0.00006318,0.000002379,0.000000892,0.0001082362,22.8712996572,2775.287208718
ZDB89,ZDB1245,Cit+ dctA+ vs Cit- dctA-,920,180,794,28,WT_CitTdctA,3.588E-07,7.02E-08,0.000030966,0.000001092,0.000000654,0.0001081397,16.7691682228,2772.8131561539
ZDB89,ZDB1245,Cit+ dctA+ vs Cit- dctA-,860,188,1300,37,WT_CitTdctA,3.354E-07,7.332E-08,0.0000507,0.000001443,7.0905176009E-07,0.0001080595,18.1808143613,2770.7554223077
ZDB89,ZDB1245,Cit+ dctA+ vs Cit- dctA-,1090,176,1968,43,WT_CitTdctA,4.251E-07,6.864E-08,0.000076752,0.000001677,5.8131191662E-07,0.0001081355,14.9054337595,2772.705085641
ZDB89,ZDB1245,Cit+ dctA+ vs Cit- dctA-,610,202,1058,42,WT_CitTdctA,2.379E-07,7.878E-08,0.000041262,0.000001638,9.2153887673E-07,0.0001080394,23.6292019674,2770.2401010256
ZDB89,ZDB1246,Cit+ dctA+ vs Cit+ dctA-,1170,156,1930,39,CitT_CitTdctA,4.563E-07,6.084E-08,0.00007527,0.000001521,1.1774566599E-06,0.0001073368,30.1911964077,2752.2262197436
ZDB89,ZDB1246,Cit+ dctA+ vs Cit+ dctA-,820,139,2370,49,CitT_CitTdctA,3.198E-07,5.421E-08,0.00009243,0.000001911,1.3227123679E-06,0.000107309,33.915701741,2751.5124702564
ZDB89,ZDB1246,Cit+ dctA+ vs Cit+ dctA-,1590,145,2100,62,CitT_CitTdctA,6.201E-07,5.655E-08,0.0000819,0.000002418,9.027944923E-07,0.0001075818,23.1485767256,2758.5072764103
ZDB89,ZDB1246,Cit+ dctA+ vs Cit+ dctA-,930,177,1610,56,CitT_CitTdctA,3.627E-07,0.000000069,0.00006279,0.000002184,1.5231857808E-06,0.000107054,39.0560456615,2744.9744446154
ZDB89,ZDB1246,Cit+ dctA+ vs Cit+ dctA-,1570,137,2140,53,CitT_CitTdctA,6.123E-07,5.343E-08,0.00008346,0.000002067,8.6264734036E-07,0.0001076345,22.1191625733,2759.8577525641
ZDB89,ZDB1246,Cit+ dctA+ vs Cit+ dctA-,150,142,820,69,CitT_CitTdctA,5.85E-08,5.538E-08,0.00003198,0.000002691,3.3091945679E-06,0.000105893,84.8511427667,2715.2039807692
ZDB89,ZDB1246,Cit+ dctA+ vs Cit+ dctA-,210,141,1770,53,CitT_CitTdctA,8.19E-08,0.000000055,0.00006903,0.000002067,2.8392918988E-06,0.0001062657,72.8023563795,2724.7612838462
ZDB89,ZDB1246,Cit+ dctA+ vs Cit+ dctA-,1060,162,1780,52,CitT_CitTdctA,4.134E-07,6.318E-08,0.00006942,0.000002028,1.2976684396E-06,0.0001072829,33.2735497333,2750.8436789744
ZDB89,ZDB1246,Cit+ dctA+ vs Cit+ dctA-,1090,146,2200,44,CitT_CitTdctA,4.251E-07,5.694E-08,0.0000858,0.000001716,1.1582306016E-06,0.0001074142,29.6982205538,2754.2107566667
ZDB89,ZDB1246,Cit+ dctA+ vs Cit+ dctA-,780,184,2010,62,CitT_CitTdctA,3.042E-07,7.176E-08,0.00007839,0.000002418,1.7527266489E-06,0.0001068632,44.9417089462,2740.0825197436
ZDB89,ZDB1244,Cit+ dctA+ vs Cit- dctA+,970,156,1380,98,dctA_CitTdctA,3.783E-07,6.084E-08,0.00005382,0.000003822,5.524181885E-07,0.0001081728,14.1645689359,2773.6615889744
ZDB89,ZDB1244,Cit+ dctA+ vs Cit- dctA+,770,179,1690,118,dctA_CitTdctA,3.003E-07,6.981E-08,0.00006591,0.000004602,7.1942091416E-07,0.0001081646,18.4466901067,2773.45115
ZDB89,ZDB1244,Cit+ dctA+ vs Cit- dctA+,1040,177,1460,84,dctA_CitTdctA,4.056E-07,0.000000069,0.00005694,0.000003276,6.0026388988E-07,0.0001081644,15.3913817918,2773.4460371795
ZDB89,ZDB1244,Cit+ dctA+ vs Cit- dctA+,880,168,1110,93,dctA_CitTdctA,3.432E-07,6.552E-08,0.00004329,0.000003627,6.2763560459E-07,0.0001082075,16.0932206305,2774.5508797436
ZDB89,ZDB1244,Cit+ dctA+ vs Cit- dctA+,1660,170,990,78,dctA_CitTdctA,6.474E-07,6.63E-08,0.00003861,0.000003042,4.4320557914E-07,0.0001081824,11.364245619,2773.9080953846
ZDB89,ZDB1244,Cit+ dctA+ vs Cit- dctA+,1120,170,1700,118,dctA_CitTdctA,4.368E-07,6.63E-08,0.0000663,0.000004602,5.5344029439E-07,0.0001081317,14.1907767792,2772.6070966667
ZDB89,ZDB1244,Cit+ dctA+ vs Cit- dctA+,970,150,2290,82,dctA_CitTdctA,3.783E-07,5.85E-08,0.00008931,0.000003198,5.3172938164E-07,0.0001081907,13.6340867087,2774.1194382051
ZDB89,ZDB1244,Cit+ dctA+ vs Cit- dctA+,740,171,2010,141,dctA_CitTdctA,2.886E-07,6.669E-08,0.00007839,0.000005499,7.0438925164E-07,0.0001081224,18.0612628626,2772.3692766667
ZDB89,ZDB1244,Cit+ dctA+ vs Cit- dctA+,1030,154,1100,72,dctA_CitTdctA,4.017E-07,6.006E-08,0.0000429,0.000002808,5.2753656833E-07,0.0001082393,13.5265786751,2775.3678730769
ZDB89,ZDB1244,Cit+ dctA+ vs Cit- dctA+,580,147,1100,84,dctA_CitTdctA,2.262E-07,5.733E-08,0.0000429,0.000003276,6.9855626301E-07,0.0001082963,17.9116990515,2776.8270915385
ZDB757,ZDB1246,Cit- dctA+ vs Cit+ dctA-,188,148,171,169,CitT_dctA,7.332E-08,5.772E-08,0.000006669,0.000006591,3.0175482933E-05,7.6827752418E-05,773.7303316154,1969.9423696923
ZDB757,ZDB1246,Cit- dctA+ vs Cit+ dctA-,207,159,166,170,CitT_dctA,8.073E-08,0.000000062,0.000006474,0.00000663,3.0142180017E-05,7.6811219917E-05,772.8764106923,1969.5184594103
ZDB757,ZDB1246,Cit- dctA+ vs Cit+ dctA-,198,141,178,172,CitT_dctA,7.722E-08,0.000000055,0.000006942,0.000006708,3.0079519799E-05,7.6996156088E-05,771.2697384359,1974.2604125128
ZDB757,ZDB1246,Cit- dctA+ vs Cit+ dctA-,176,148,151,179,CitT_dctA,6.864E-08,5.772E-08,0.000005889,0.000006981,3.0244053609E-05,7.676092476E-05,775.4885540769,1968.22884
ZDB757,ZDB1246,Cit- dctA+ vs Cit+ dctA-,164,142,199,159,CitT_dctA,0.000000064,5.538E-08,0.000007761,0.000006201,3.0277904439E-05,7.6755758806E-05,776.3565240769,1968.096379641
ZDB757,ZDB1246,Cit- dctA+ vs Cit+ dctA-,157,140,193,175,CitT_dctA,6.123E-08,5.46E-08,0.000007527,0.000006825,3.0308092581E-05,0.000076715,777.130579,1967.0519935128
ZDB757,ZDB1246,Cit- dctA+ vs Cit+ dctA-,168,170,186,169,CitT_dctA,6.552E-08,6.63E-08,0.000007254,0.000006591,3.041706084E-05,7.6418148717E-05,779.9246369231,1959.4397106923
ZDB757,ZDB1246,Cit- dctA+ vs Cit+ dctA-,171,137,219,157,CitT_dctA,6.669E-08,5.343E-08,0.000008541,0.000006123,3.0202660121E-05,7.6868941991E-05,774.4271825897,1970.9985125897
ZDB757,ZDB1246,Cit- dctA+ vs Cit+ dctA-,200,146,239,185,CitT_dctA,0.000000078,5.694E-08,0.000009321,0.000007215,3.0098604465E-05,7.6932638333E-05,771.7590888462,1972.6317521282
ZDB757,ZDB1246,Cit- dctA+ vs Cit+ dctA-,200,163,194,156,CitT_dctA,0.000000078,6.357E-08,0.000007566,0.000006084,3.020025087E-05,7.6716731972E-05,774.3654069231,1967.0956915897
