Distance,Delta_Fitness_Mean,Delta_Fitness_SE
1,9.07768067825998E-08,7.69003010115677E-08
2,9.07768067825998E-08,7.7094249115339E-08
4,1.32381418693761E-06,1.22594476764142E-06
8,3.83738674470502E-06,1.80176446069823E-06
16,1.10126744096473E-05,5.37080368772878E-06
32,0.0003549085,0.0002872977
64,0.0004633637,0.0002913574
128,0.0028013974,0.0022563671
256,0.014194308,0.0062382349
512,0.0530395647,0.0130926256
1024,0.1250898231,0.0198945011
